Complexity,Loss,Equation
1,2.4909218773066257e-5,"0.00984531591618495"
4,2.472951112382504e-5,"inv(β + 101.2257824606445)"
5,8.589201655656664e-6,"(β + -0.7198720750330144) * -0.017545223985713725"
6,4.239969199071769e-6,"inv(β + 0.13177233863811053) * 0.0019384401105102377"
8,4.102527926008328e-6,"(t_norm + inv(β + 0.11701736054130653)) * 0.0016570460743400546"
9,2.893766934984965e-6,"inv(inv(t_norm) + ((β + 0.1230881850876282) * 511.20890084347883))"
11,1.9182262595523737e-6,"inv(t_norm + ((β + 0.054586611007315704) * inv(t_norm))) * 0.008427784679448371"
12,1.2894409697179972e-6,"inv(β + ((t_norm * (t_norm + -0.7376595943041313)) + 0.2553310101204177)) * 0.0022063200310031813"
13,8.004891481954699e-7,"inv((t_norm + (inv(t_norm) * 0.07540287273218219)) + (β * 5.087005273386993)) * 0.009995927680613059"
15,5.958645961429688e-7,"inv(β + ((t_norm + (inv(t_norm + 0.02813331401682096) * 0.09892692877341751)) * 0.18532366798731398)) * 0.001969162792805892"
16,5.53224216986655e-7,"(inv((((t_norm + -0.4304165031968681) * t_norm) + β) + 0.1472558924886867) * (t_norm + 0.26947177595499544)) * 0.0035692221478409157"
17,3.774247984175911e-7,"inv(((t_norm + (inv((t_norm * t_norm) + 0.016027261817924326) * 0.018217889446750693)) * 0.22464228910667108) + β) * 0.001971877167678345"
18,3.407582034634305e-7,"(t_norm + 0.1600745498831059) * (inv((t_norm * ((t_norm + -0.31854029896777714) + β)) + (β + 0.13714422382546274)) * 0.005314400056936103)"
