param,class,count,param_total,percentage
a,unidentifiable,54,56,96.43
b,unidentifiable,36,56,64.29
Cs0,practically_identifiable,40,56,71.43
Cc0,unidentifiable,38,56,67.86
beta,unidentifiable,40,56,71.43
b,practically_identifiable,18,56,32.14
Cc0,practically_identifiable,17,56,30.36
Cs0,identifiable,5,56,8.93
Cc0,identifiable,1,56,1.79
beta,practically_identifiable,15,56,26.79
Cs0,unidentifiable,11,56,19.64
a,practically_identifiable,2,56,3.57
b,identifiable,2,56,3.57
beta,identifiable,1,56,1.79
