Complexity,Loss,Equation
1,0.0009651506124261861,"0.032435738450942525"
3,0.0006862625887169178,"t_norm * 0.1138823643602184"
5,0.0006813555988189726,"(β * -0.048179142725109765) + 0.042514213840170526"
6,0.00044002903245603367,"inv(β + 0.047503244127829386) * 0.002940630707684333"
7,0.00033027584292364103,"((β * -0.16844058266450665) + 0.14911803213751326) * t_norm"
8,4.990474905165386e-5,"(inv(β + 0.05332642419148941) * 0.011308579665836227) * t_norm"
10,4.02564265412661e-5,"inv((β * β) + 0.0046877115222682866) * (t_norm * 0.0009014326215769035)"
12,2.067406825464127e-5,"((t_norm * t_norm) + 0.06925495981195652) * (inv(β + 0.05355083006153307) * 0.0189347505468608)"
14,1.0920576257098104e-5,"(((t_norm * t_norm) + 0.06817398286571814) * inv((β * β) + 0.004741248682474339)) * 0.0015276055867809563"
16,7.767663567358615e-6,"(((t_norm * t_norm) + 0.06853623062109433) * 0.0026646952788956842) * inv(((β + 0.055070973930380025) * β) + 0.00794622553258918)"
17,5.793970693238936e-6,"(((t_norm * t_norm) + 0.08175202019861415) * inv(((β * inv(t_norm)) * β) + 0.011951064539169024)) * 0.003636576314763551"
