Complexity,Loss,Equation
1,0.0008280636086464924,"0.012681607252166882"
3,0.0007206644828269904,"t_norm * 0.028437777192004923"
4,0.0005082563926131507,"inv(β) * 0.0055689369589440145"
6,0.00016856706651218812,"t_norm * (inv(β) * 0.012632999544176434)"
8,9.77288166584254e-5,"inv(β) * (t_norm * (t_norm * 0.01702720094329887))"
9,9.522504842327872e-5,"inv((inv(t_norm) * β) + -0.05974822019081113) * 0.007762678505161664"
10,3.8103862650648374e-5,"(t_norm * t_norm) * ((inv(β) + -1.1832098685926262) * 0.021931517819167384)"
12,3.319239823720813e-5,"(inv((β * β) + 0.016941869530517007) * (t_norm * t_norm)) * 0.005124132522594368"
14,1.9628887380348102e-5,"inv((β * (β * β)) + 0.007482846350459589) * (t_norm * (t_norm * 0.0015955284604005926))"
16,1.7907921688235065e-5,"inv((β * (β * β)) + 0.007579413791854524) * (((t_norm * 0.0018745656557069442) + -0.00021047064380787486) * t_norm)"
17,1.2132312565512772e-5,"((inv((((β * β) * inv(t_norm)) * β) + 0.009120503343590089) * 0.001951252316726385) * t_norm) * t_norm"
