Complexity,Loss,Equation
1,0.0008280636086464924,"0.012681607252702034"
3,0.0007206644828269904,"t_norm * 0.028437777192129032"
4,0.0005082563926131507,"inv(β) * 0.005568936958941774"
6,0.00016856706651218812,"t_norm * (inv(β) * 0.01263299954417746)"
8,9.77288166584254e-5,"inv(β) * (t_norm * (t_norm * 0.017027200943298997))"
9,9.522504842327869e-5,"inv((β * inv(t_norm)) + -0.05974822122931711) * 0.0077626783474726"
10,3.8103862650648374e-5,"(t_norm * (0.021931517820574738 * t_norm)) * (-1.1832098689996198 + inv(β))"
12,3.3192398237208106e-5,"((t_norm * t_norm) * 0.005124132562733493) * inv((β * β) + 0.01694186965940752)"
13,2.8640916387387804e-5,"inv((((inv(t_norm) * β) + -0.29352138216336615) * β) + 0.024130465563562294) * 0.0008594006277898098"
14,1.9065533745039622e-5,"((t_norm * inv(((β + -0.23164508220335114) * β) + 0.022586917529767034)) * t_norm) * 0.0017601380851265652"
15,9.124825850956066e-6,"(t_norm * inv((β * ((inv(t_norm) * β) + -0.26346591160443183)) + 0.02682837606705202)) * 0.0019385941228788805"
16,9.124825850956065e-6,"inv(((((inv(t_norm) * β) + -0.26346591160443183) * β) + 0.02682837606705202) * inv(t_norm)) * 0.0019385941228788805"
17,8.953275724729212e-6,"((inv((((inv(t_norm) * β) + -0.2625139833395022) * β) + 0.027129982356719692) + -0.4912067746013358) * t_norm) * 0.002014276217284814"
18,8.242394583656095e-6,"inv((inv(t_norm) * ((((β * inv(t_norm)) + -0.27391459210674357) * β) + 0.022216187631166857)) + 0.004804726787297928) * 0.0017029505589236716"
