Complexity,Loss,Equation
1,0.008069778757760165,"0.11674567251081408"
3,0.00328289939012282,"t_norm * 0.05644627565127548"
5,0.0032806120103731616,"(t_norm * 0.05753499256875784) + -0.003023003705170178"
6,0.0030981929258535102,"t_norm * inv(β + 16.940880048275684)"
7,0.0014538604203875388,"t_norm * ((β * -0.06193227839438304) + 0.09050902876123118)"
8,0.001447224027598287,"(inv(β + -4.587117960307114) + 0.3054129558499953) * t_norm"
9,0.001157526559234457,"(((β * -2.7882050021077904) + t_norm) * 0.057534992538310875) + 0.08520764109198822"
13,0.000948074036101244,"((β * -0.36753959557279725) + (t_norm * 0.26871835178907266)) * inv(t_norm + inv(t_norm))"
14,0.0007734086247413875,"(t_norm * 0.2903316498283981) * inv(t_norm + inv((inv(β) * t_norm) * 0.08897273741351265))"
15,0.0006200849661852679,"inv(t_norm + inv(t_norm * t_norm)) * ((t_norm * 0.2634555890920476) + (β * -0.4033722769974221))"
16,0.0003759268582788245,"t_norm * (inv(t_norm + inv((inv(β) * (t_norm * 0.18826861408082549)) + -0.28254863455007323)) * 0.26315228623706133)"
18,0.0003003521201059391,"((inv(t_norm + inv((inv(β) * (t_norm * 0.1793029308098602)) + -0.20316991441774504)) + -0.052741935248809706) * 0.32930233214020344) * t_norm"
