Complexity,Loss,Equation
1,2.49092187730387e-5,"0.009845312707990357"
5,8.589203390680546e-6,"(β + -0.7198570131147733) * -0.017547211576110208"
6,4.23996918283978e-6,"inv(β + 0.13176001046907568) * 0.0019382844904533548"
8,4.102526273755231e-6,"(inv(β + 0.11706798361891388) + t_norm) * 0.0016578299348526798"
9,3.997736762804861e-6,"inv((β * inv(t_norm)) + 0.401186723932667) * 0.005982818575289804"
11,2.568010527944108e-6,"inv(β + 0.13137695276984304) * ((inv(t_norm) * -3.444504271541485e-5) + 0.0021109189339765244)"
12,1.2894462517389025e-6,"inv(β + (((t_norm + -0.737815411536965) * t_norm) + 0.25510136448259074)) * 0.0022016951097875636"
13,8.004914796605385e-7,"inv((β + (t_norm * 0.1966014090818745)) + (inv(t_norm) * 0.014815351431238409)) * 0.0019647906213788448"
15,5.958547599891057e-7,"inv(((inv(t_norm + 0.028132952649495068) * 0.018365975585272285) + (t_norm * 0.185585476591703)) + β) * 0.0019723818856601807"
17,4.2525734558596716e-7,"inv(β + (((inv(t_norm + 0.1053100414104785) * 0.05222112040923074) + (t_norm * 0.30856693923652123)) + -0.11444486140332477)) * 0.0019647906213788448"
