Complexity,Loss,Equation
1,1.577773449963686,"0.7301169500911805"
4,1.3927205728149024,"inv(β) * 0.003012381312185423"
5,1.2618732000289945,"(t_norm * -2.5877210604074006) + 1.3514715931194736"
6,1.0502804553812457,"inv(t_norm + 0.0376414464850909) * 0.12350570857480969"
8,0.2560425992759159,"inv(((t_norm + β) * 5.50478078354761) + 0.10618374252656816)"
10,0.15740274569163046,"inv(((β + t_norm) * 3.4420338839840117) + 0.11676600649906961) + -0.5515976684702523"
11,0.11626372759459964,"(inv(t_norm + 0.03609073125985683) * 0.005372878139487855) * inv(β + 0.017400330368364088)"
12,0.08117743254995148,"(inv(t_norm + ((β * 2.6566832507185363) + 0.03738988676494037)) * 0.3434129099991039) + -0.4664064635403583"
13,0.05687012800831076,"inv(β + 0.017407312168506148) * ((inv(t_norm + 0.06673216632423755) + -1.9741814011393595) * 0.010299884413629933)"
14,0.05181802426780127,"β + ((inv(((β * 2.899022232433056) + t_norm) + 0.049858123545532027) * 0.4442839326743803) + -0.826090742585922)"
15,0.03860163896418144,"(inv((β + t_norm) + 0.060999050222309996) + -1.983894479654513) * (inv(β + 0.03873791034871383) * 0.020448436689496176)"
17,0.03440492643542214,"((inv(β + (t_norm + 0.06068321848718332)) + -1.9514857240016978) * 0.04188106440751538) * (inv(β + 0.062066406193073125) + -3.771639017218524)"
18,0.027147251345207606,"((t_norm * -1.991218012626667) + 0.7356150855014439) * ((β + -1.0958687256851194) + inv(t_norm + ((β * 4.618502992666685) + 0.09009581606462073)))"
