Complexity,Loss,Equation
1,1.5777734499636857,"0.7301169488489946"
4,1.3927205728149021,"inv(β * 331.96328624334075)"
5,1.2618732000289945,"(t_norm * -2.587721061269966) + 1.351471593339765"
6,0.9013953568919904,"inv((β * 137.2019445086431) + t_norm)"
8,0.2560425992759159,"inv(((t_norm + β) * 5.504780781120751) + 0.10618374259773873)"
10,0.1073330115963656,"inv((t_norm * t_norm) + (β + 0.006510757736111152)) * 0.04426235027873944"
12,0.05250636407923256,"inv((β + (2.7587494687299694 * (t_norm * t_norm))) + 0.011757005329572127) * 0.07784785426129401"
14,0.011558515030863274,"inv(((t_norm + (β * 5.686009061397932)) * (t_norm + β)) + 0.006520360044246789) * 0.03614788504839375"
16,0.00672604915806048,"inv((((β * (β * 154.34026712886998)) + t_norm) * (β + t_norm)) + 0.006062694642405593) * 0.03158720737584769"
18,0.004986463002851014,"inv(((β + t_norm) * (t_norm + ((β * (β + 0.02200621624665528)) * 95.0906884530456))) + 0.0062561136919710445) * 0.033430657716783704"
