Model,Parameter,Local,Global
cUDE_NN,Cs(t),true,globally
cUDE_NN,Cc(t),true,globally
cUDE_NN,Cp(t),true,globally
cUDE_NN,a,true,globally
cUDE_NN,b,true,globally
Surrogate_SR,Cs(t),true,globally
Surrogate_SR,Cc(t),true,globally
Surrogate_SR,Cp(t),true,globally
Surrogate_SR,tau(t),true,globally
Surrogate_SR,K_surr,true,globally
Surrogate_SR,a,true,globally
Surrogate_SR,b,true,globally
ODE_pure,Cs(t),true,globally
ODE_pure,Cc(t),true,globally
ODE_pure,Cp(t),true,globally
ODE_pure,tau(t),true,globally
ODE_pure,Td,true,locally
ODE_pure,a,true,globally
ODE_pure,b,true,globally
