Complexity,Loss,Equation
1,0.27920851720199596,"β"
2,0.16998215891096607,"0.5022679393642462"
4,0.018635261183096476,"t_norm * 0.09978224938910758"
7,0.017746240773069133,"t_norm * inv(β + 9.574216057688258)"
9,0.017628806404071426,"inv((β * β) + 9.73938900742411) * t_norm"
10,0.017579120838669353,"t_norm * inv(β + (inv(t_norm) + 9.458645970987302))"
11,0.01454660527993755,"inv(inv((t_norm * t_norm) * 0.03937981503282225) + 0.7968360747038304)"
12,0.012672286864965599,"inv(((β * 31.46904967430777) * inv(t_norm)) + t_norm) * t_norm"
13,0.011614257057473279,"inv((inv((t_norm * 0.028376985986256584) * t_norm) * β) + 0.943700396435676)"
14,0.0060364191024281765,"t_norm * inv(((β * 169.66002743210007) * inv(t_norm * t_norm)) + t_norm)"
15,0.006012501717416304,"inv((β * inv(((t_norm * 0.005734498608141479) * t_norm) * t_norm)) + 0.9890926418259594)"
16,0.005883649695035894,"inv(t_norm + (β * inv(((t_norm * t_norm) * t_norm) * 0.0011056103869091056))) * t_norm"
17,0.005422216446866751,"inv((inv((t_norm * ((t_norm * t_norm) * t_norm)) * 0.0012585311500029344) * β) + 1.0434453984446486)"
18,0.004596424798195254,"t_norm * inv(t_norm + ((β * inv(t_norm * ((t_norm * t_norm) * 0.0006707411187641099))) * β))"
19,0.0037752135486489886,"inv((inv((t_norm * t_norm) * (t_norm * (t_norm * 0.0007780399162888297))) * (β * β)) + 1.0553531103104006)"
